@lat	@lon	name	tourism	historic	amenity	natural	leisure
32.6861420	-17.0781076	Casa Típica	chalet				
32.6800253	-17.0779388	Igreja de Tabua			place_of_worship		
41.1351939	-8.5471622	Casa Rural São Miguel	guest_house				
32.6720641	-17.0611387	Capela de Nossa Senhora da Conceição			place_of_worship		
32.8276873	-17.2205960		picnic_site				
32.8306217	-16.9011341		picnic_site				
32.8052586	-16.8824070	Casas de Santana		monument			
32.8259032	-16.9377264	Cabanas de São Jorge Village	hotel				
41.8167231	-6.7559172	Ibis Bragança	hotel				
39.5474206	-7.6258521	Senhora da Graça	viewpoint		place_of_worship		
32.6466910	-16.8985273	Forte de São Tiago		fort			
32.7667636	-16.8215557		viewpoint				
32.8227330	-16.9740635	Cemitério da Boaventura	attraction		place_of_worship		
32.8261199	-16.9734748	São Cristovão	picnic_site				
32.8287108	-16.9905257	Monte Mar Palace Hotel	hotel				
32.8079870	-17.0475041		artwork				
32.8671013	-17.1689827	Euro Moniz Inn	hotel				
32.7948519	-17.1792080	Fonte do Bispo	viewpoint				
32.7605709	-17.1244201	Risco	viewpoint				
32.7616122	-17.1348470	Rabaçal Picnic	picnic_site				
32.7656440	-17.1251314	Cascata das 25 Fontes	attraction				
32.7412178	-17.0479817		information				
32.7340839	-17.0617471	Miradouro Molinas	viewpoint				
32.7535918	-17.0460282	Pináculo				peak	
32.7358399	-17.0256410	Vinhaticos	picnic_site				
32.7347374	-17.0248768	Pico da Murta	viewpoint				
32.7543779	-17.0193017	Encumeada Picnic	picnic_site				
37.0896065	-8.7250328	Luz Bay Club	hotel				
37.2858454	-8.5502222		viewpoint				
38.7777855	-9.4375616			memorial			
37.0160908	-7.9311018	Museu Regional do Algarve	museum				
38.4425282	-9.0986115	Sana Park Sesimbra Hotel	hotel				
37.0147217	-7.9347837	Posto de turismo Faro	information				
37.0928108	-8.4655175	Algar Seco	attraction				
32.7592251	-17.2232643	Pico dos Bodes	viewpoint				
32.6416106	-16.8346674	Inn & Art	hotel				
32.7430071	-16.7156332	Prainha	viewpoint				
32.6482685	-16.9778268	Ilheú de Câmara de Lobos	viewpoint				
37.3209759	-8.8771692	Ponta da Atalaia	viewpoint			cape	
39.4517749	-7.6964453	Complexo Termal de Nisa - Fadagosa	attraction				
39.4503710	-7.6856250	Anta de São Gens 2		archaeological_site			
39.3971088	-7.3800035	Castelo de Marvão		castle			
39.3945635	-7.3777894		information				
39.3703232	-7.3262076	Igreja de São Sebastião			place_of_worship		
39.3703895	-7.3264136			wayside_cross			
39.4157241	-7.4521562	Praça Alta	viewpoint				
39.4960159	-7.4457254	Menir da Meada		archaeological_site			
39.3850505	-7.3276566	Castro da Crença		archaeological_site			
38.7809602	-9.4973474	Posto de Turismo do Cabo da Roca	information				
39.6840602	-7.6602612	Ponte do Cobre		bridge			
39.2157833	-7.7856307		viewpoint				
40.6594958	-7.9115695	Estátua do Rei Dom Duarte		memorial			
40.6578278	-7.9134824	Painel de Azulejos de Joaquim Lopes	attraction				
38.7370692	-9.1623494	SANA Malhoa Hotel	hotel				
38.7371794	-9.1628002	Hotel Ibis Lisboa José Malhoa	hotel				
37.7715330	-25.3343377	Pico do Ferro	viewpoint				
32.6428011	-16.8294526	Royal Orchid	hotel				
32.6422326	-16.8300388	Rocamar	hotel				
32.7975455	-17.0420595	Grutas e Centro do Vulcanismo	attraction				
37.3044055	-8.8334653	Lago Silencioso	hotel				
38.6974795	-9.2033202	Pastéis de Belém	attraction				
32.7602650	-17.1229406	Risco	attraction				
41.5544526	-8.3794723	Miradouro do Bom Jesus	viewpoint				
41.5521075	-8.3752099	Mãe D'Água	hotel				
41.5578718	-8.3765008	Castelo do Bom Jesus	hotel				
41.6477787	-8.1848372	Pousada Caniçada-Gerês	hotel				
41.6489740	-8.2059413	Aquafalls Spa Hotel	hotel				
40.3292886	-7.2146908	Porta da Vila		city_gate			
40.3290795	-7.2168547	Porta Falsa		city_gate			
37.1125291	-8.6733822	Marina de São Roque	hotel				
37.1008132	-8.6728831	Riomar	hotel				
37.1010738	-8.6730488	Casa de São Gonçalo	hotel				
38.7154373	-9.1440476	Miradouro de São Pedro de Alcântara	viewpoint				
39.4095140	-7.3359474			wayside_shrine			
41.5182218	-8.1185236			wayside_shrine	place_of_worship		
39.0902756	-9.2587681	Igreja da Graça			place_of_worship		
39.0898023	-9.2595535				place_of_worship		
41.7034090	-8.8357551	Pousada Viana Do Castelo	hotel				
37.3210762	-8.4904603	Castro de Alferce		archaeological_site			
37.8800972	-25.7765979	Miradouro das Cumeeiras	viewpoint				
32.6385670	-16.9302784	Vila Vicencia	hotel				
32.7376996	-16.8725629		viewpoint				
37.2437079	-7.7064022		viewpoint				
37.2436771	-7.7390590		viewpoint				
41.7041523	-8.8451017	Quinta da Victória	hotel				
41.0080642	-8.6448677	Hotel Apartamento Solverde	hotel				
32.7109551	-16.9866684		picnic_site				
40.0880016	-7.8573218	Miradouro Sul da Barragem de Santa Luzia	viewpoint				
39.3534391	-9.3809041	Museu Nacional Resistência e Liberdade	museum				
39.3529107	-9.3832987		viewpoint				
38.7377015	-9.1335580	Hotel A.S. Lisboa	hotel				
37.3260570	-8.8660899		viewpoint		bench		
37.3571561	-8.7974721		attraction				
37.2963367	-8.8741413	Fortaleza de Arrifana	viewpoint				
37.3191439	-8.8033015	Aljezur Táctil Museu Municipal	museum				
37.3234434	-8.8528836	Vale da Telha	information				
37.1282128	-7.6495880	Dom Marcelino Franco		memorial			
37.9585945	-8.8772106	Congregação Cristã em Portugal			place_of_worship		
37.0163930	-7.9349802	Hotel Faro	hotel				
41.1583337	-8.6067738	Hotel Grande Rio	hotel				
37.1749285	-7.5108085		picnic_site				
37.0914705	-8.9327082		picnic_site				
37.1636450	-8.6018625				place_of_worship		
41.3656651	-8.3414250	Igreja Nova de Vilarinho			place_of_worship		
37.5736119	-8.2795654	Alcaria 1		archaeological_site			
41.7673427	-8.5837555	Foral da Sorte	attraction				
38.7420724	-9.1339710	Residencial Lar do Areeiro	guest_house				
38.6023163	-28.8324915	Vulcão dos Capelinhos	attraction			volcano	
37.1307367	-8.5416475	Nossa Senhora do Amparo			place_of_worship		
40.6414747	-8.6544847	Memória da Ria	attraction		ferry_terminal		
38.7297778	-27.2325457		information				
38.7294781	-27.2319845		information				
38.7293302	-27.2315460		information				
38.7373933	-27.2686939	Gruta do Natal	attraction			cave_entrance	
38.7929336	-27.2587219	Museu do Vinho	museum				
40.8249293	-8.3748842	Capela Nossa Senhora das Necessidades			place_of_worship		
38.7296922	-27.3185151	Miradouro Serra de Santa Bárbara	viewpoint				
38.7281442	-27.2158972	Gruta do Algar do Carvão	attraction			cave_entrance	
38.7627834	-9.3673289	Pestana Sintra Golf	hotel				
32.7436438	-16.9696860		viewpoint				
37.8579705	-25.8507627	Pico das Camarinhas - Ponta da Ferraria	information				
38.7856332	-9.2169787	Igreja do Casal do Rato			place_of_worship		
32.8227257	-16.9737312	Cemitério	viewpoint				
32.8039065	-16.9648454				place_of_worship		
32.8289479	-16.9524775	Arco de São Jorge	viewpoint				
32.8266074	-16.9390236	Beira da Quinta	viewpoint				
37.1988092	-8.9055213		viewpoint				
37.1953816	-8.9174519		viewpoint				
37.1837364	-8.8799654	Surf School Camp	guest_house				
38.7355775	-9.1570208	Real Residência	hotel				
37.1159958	-8.6710343	Vitasol Park	resort				
32.8089948	-17.1254370	Fio	viewpoint				
32.8103719	-17.1389332	Rocha dos Ingleses	viewpoint				
32.6418646	-16.8326279	Golf Office	information				
32.6422734	-16.8307040	Hotel Cais de Oliveira	hotel				
32.6425373	-16.8306791	Vila Ventura	guest_house				
32.6917714	-16.8556884		picnic_site				
32.6614610	-16.8969381		viewpoint				
32.6634201	-16.8961146	Furna dos Namorados	viewpoint			cave_entrance	
32.7307908	-17.0241798		picnic_site				
32.7336167	-17.0230602	Serra de Agua	picnic_site				
32.7348051	-17.0241623	Serra de Agua	picnic_site				
32.7318710	-17.0255256		picnic_site				
32.7356040	-17.0260962		viewpoint				
32.6698882	-17.0648805	Forte de São Bento	information				
32.6708800	-17.0664887						water_park
32.7153513	-17.0035571	Chão dos Terreiros				peak	
32.7233604	-16.8180939	Quinta de Santo António da Serra	hotel				
32.7373000	-17.2114699	Hotel Jardim do Mar	hotel				
32.7405391	-17.2110770		viewpoint				
39.6396234	-8.8082388	Capela da Cela			place_of_worship		
32.7874035	-17.2335162		picnic_site				
32.8396011	-17.1735361		picnic_site				
32.8438687	-17.1727189		picnic_site				
32.8452405	-17.1693243		picnic_site				
39.5510497	-7.6277151	Ponte Romana de São Simão		archaeological_site			
39.6241082	-8.7049556	Grutas da Moeda (entrada)				cave_entrance	
39.4675294	-31.1464922				place_of_worship		
38.7254796	-28.2265531		viewpoint				
38.7925032	-9.3875062		viewpoint				
38.7941377	-9.3873490		viewpoint				
38.6921999	-9.2174961	Museu dos Combatentes do Ultramar	museum				
38.6922118	-9.2139384	Primeira Travessia Aérea do Atlântico Sul	attraction	memorial			
41.1872897	-8.3790549	Capela das Irmãs Carmelitas			place_of_worship		
37.8194606	-25.1390987	Miradouro da Vista dos Barcos	viewpoint				
37.7964474	-25.1847785	Miradouro da Tronqueira	viewpoint				
37.8184184	-25.4024254	Fábrica de Chá Gorreana	museum				
37.8222852	-25.5234977		information				
37.8515119	-25.7772410	Miradouro da Lagoa de Santiago	viewpoint				
37.8538119	-25.7759294	Miradouro do Cerrado das Freiras	viewpoint				
32.7136954	-17.1472550	Igreja do Arco da Calheta			place_of_worship		
32.7193992	-17.1579462	Capela de Nossa Senhora do Loreto			place_of_worship		
32.6431675	-16.9321457	Madeira Panorâmico Hotel	hotel				
39.6692105	-8.8718859				place_of_worship		
41.1973507	-8.3923622	Cruzeiro-Baltar	viewpoint				
42.0267792	-8.6458701			city_gate			
38.3959984	-28.2538103	Whale' come ao Pico	guest_house				
38.5184370	-28.3062876	Águas Cristalinas	guest_house				
38.5191601	-28.3049963	Piscina natural das Poças de São Roque					water_park
38.6892531	-28.2156471	Quinta do Canavial	guest_house				
38.6253210	-27.9269396	Ermida de Santo Cristo			place_of_worship		
38.6792694	-28.0799729		viewpoint				
37.7107463	-25.5020310	Bungalows Altamira	chalet				
38.6799586	-28.2057860	Posto de Turismo	information				
32.8334969	-17.2370362	Miradouro da Boa Morte	viewpoint				
32.8528651	-17.2099518	Calhau das Achadas	viewpoint				
32.7016257	-17.1338930	Igreja de Santa Maria Madalena			place_of_worship		
37.7637489	-25.5216333	Miradouro da Cha da Macela	viewpoint				
39.5369829	-8.7429036	Grutas de Santo António	attraction			cave_entrance	
38.7962489	-9.3898349	Miradouro da Ferraria	viewpoint				
41.3398787	-8.4740842	Residencial dos Carvalhais	hotel				
41.6949626	-8.8499063	Praia Norte	viewpoint				
37.0785466	-8.2894198	Baía Grande	hotel				
37.8149247	-8.6112802	Monte das Silveirinhas	guest_house				
41.7231686	-8.8560323	Quinta Boa Viagem	hotel				
37.0748648	-8.2818412		viewpoint				
37.0759253	-8.2805308		viewpoint				
37.0757292	-8.2788929		viewpoint				
37.0768611	-8.2765161		viewpoint				
37.0784654	-8.2969959	Clube Varandas do Castelo	hotel				
40.2102310	-8.4261855	Casa Pombal	guest_house				
37.0811615	-8.3139910	Vila Galé Praia	hotel				
41.2348549	-8.6664120	OPO Hotel	hotel				
37.1071725	-8.3070701		picnic_site				
37.1075755	-8.3069734		picnic_site				
37.0824772	-8.2617606		information				
37.0810201	-8.2848840	Ponta Grande Resort	hotel				
37.0841810	-8.3138749	Vila Galé Atlântico	hotel				
37.0895371	-8.3290596	Praia Grande	information				
37.0900642	-8.3210462	CS Vila das Lagoas Holiday Apartments & Townhouses	hotel				
37.0933893	-8.3322557		information				
32.7706892	-17.2384297	Massapez	viewpoint				
37.1268178	-8.3013949	"Salvé, ó Cheia de Graça"			place_of_worship		
37.1264428	-8.2983173	Igreja Paroquial da Guia / Igreja de Nossa Senhora da Visitação			place_of_worship		
37.0768303	-8.2938084		picnic_site				
37.0754835	-8.2952764		picnic_site				
37.0761183	-8.2955223		picnic_site				
37.0740449	-8.2788291		viewpoint				
37.5181984	-7.5803045	Parque Natural do Vale do Guadiana	information				
37.6380308	-7.6637022	Cruzeiro na Rua da Igreja		wayside_cross			
37.6385208	-7.6632315	Posto de Informação Turística de Mértola	information				
37.2502634	-8.0978906	Protected area of Rocha da Pena	information				
37.2537722	-8.0997439		viewpoint				
32.7918637	-16.8556888	Fortim do Faial	viewpoint				
37.2544327	-8.0972806		viewpoint				
37.2537741	-8.1092891		viewpoint				
37.2349709	-8.1767868	Alte	information				
37.2354228	-8.1776581			wayside_cross			
37.1985659	-8.0043701	Protected area of Fonte Benémola	information				
37.2095001	-8.0101730		picnic_site				
37.2095589	-8.0103500		picnic_site				
37.2095822	-8.0104193		picnic_site				
37.2078237	-8.0081055	Fonte da Benémola	picnic_site				
37.1432936	-8.7907609	Parque de Merendas	picnic_site				
37.1486737	-8.7909515		viewpoint				
37.1401170	-8.7800694	Perimitro Florestal do Barão de São João	information				
37.1405028	-8.7783746		information				
41.1809465	-8.6818982	Amadeos	hotel				
38.7707197	-9.3128984	Paróquia do Alto do Cacém			place_of_worship		
39.4460793	-9.1701827	Casal do Gaio	chalet				
39.4171565	-8.9202231		picnic_site				
39.4235020	-8.9184470		viewpoint				
39.4218294	-8.9179052	Eira	attraction				
39.4304570	-8.9162680	Gruta de Alcobertas		archaeological_site		cave_entrance	
39.5692760	-8.5913610		viewpoint				
39.5699120	-8.5907800		viewpoint				
39.5714603	-8.5895738		viewpoint				
39.5715400	-8.5884740		viewpoint				
39.8206217	-7.4966348	Hotel Rainha Dona Amélia	hotel				
38.5259361	-8.8951483	Museu de Setúbal	museum				
32.6478633	-16.9097432	João Goncalves Zarco	artwork				
41.3421225	-8.4746386	Hotel/Restaurante Villas	hotel		restaurant		
41.3032521	-8.4602670	Quinta da Menguela	information				
41.3035767	-8.4608351	Menguela	picnic_site				
41.3129167	-8.4618104	Quinta de Real	information				
39.3566347	-9.3790627	Residencial Vasco da Gama	hotel				
39.5402481	-8.7040735	Grutas de Mira de Aire	attraction				
40.5732195	-8.5270083	Miradouro de Fermentelos	viewpoint				
37.0869446	-8.7279613	Luz Beach Apartments	apartment				
41.8658036	-8.8481813	Porta do Sol	hotel				
41.6590324	-8.2704400	Pousada Santa Maria de Bouro	hotel				
41.5594918	-8.3974362	Prometeu	artwork				
38.9862079	-9.2499008	Quinta do Casal Novo	attraction				
40.2137289	-8.4279516	Atelier do Corvo	gallery				
40.2051231	-8.4146589	Penedo da Saudade	attraction				
40.2142863	-8.4333950	Tivoli Coimbra	hotel				
40.1713685	-8.3922628	Igreja de Ceira			place_of_worship		
40.1690156	-8.3909078	Capela das Vendas de Ceira			place_of_worship		
37.0956416	-8.6965479	Atalaia Sol	hotel				
37.7401744	-25.6638578	Hotel Gaivota	hotel				
37.7503540	-25.6296656		viewpoint				
37.7734316	-25.3100165	Posto de Turismo	information				
37.7689080	-25.3302486		viewpoint				
37.7781773	-25.3119426	Vista do Vale	hotel				
37.7671044	-25.3202154		viewpoint				
40.8368002	-7.8926925	Museu Particular do Delfim Silva	museum				
37.8222355	-25.5229339		information				
37.8221284	-25.5205598		viewpoint				
37.7972623	-25.4866062		viewpoint				
37.7781263	-25.4955212	Miradouro da Bela Vista	viewpoint				
37.7694164	-25.4882883	Miradouro da Lagoa do Fogo	viewpoint				
37.7695627	-25.4938496		viewpoint				
37.7588976	-25.7274366	Miradouro do Caminho Novo	viewpoint				
40.2058978	-8.4075938	Estátua aos Heróis do Ultramar		memorial			
37.7413187	-25.6688683	Cantinho dos Anjos	yes		bar		
37.7389389	-25.6685597	Delegação de Turismo de São Miguel	information				
40.1640228	-8.3846875	Capela do Sobral			place_of_worship		
37.1944460	-8.4323394	Cruz de Portugal	attraction	wayside_cross			
37.0764124	-8.0977223				place_of_worship		
38.0144087	-7.8641359	Museu Jorge Vieira	museum				
39.1702764	-8.7948793	Quinta das Pratas	hotel				
39.8296760	-7.4918732		picnic_site				
37.1058835	-8.6763212	Tivoli Lagos	hotel				
41.1684070	-8.5916170	Residencial Portucalense	guest_house				
39.5153154	-7.6493384	Igreja do Calvário			place_of_worship		
38.7142642	-7.7630630	Belver Monte do Carmo Hotel Rural	guest_house				
32.7245381	-16.9238301		viewpoint				
37.2383045	-8.1847569	Hotel Alte	hotel				
37.1027232	-8.6729685	El Rei D. Sebastião	artwork				
37.1046297	-8.6743370	Vista â Marina	viewpoint				
37.8262299	-25.7537862		viewpoint				
39.8277174	-7.4932266	Cruzeiro de São João		wayside_cross			
37.0795769	-8.6686133	Ponta da Piedade	viewpoint				
38.0195205	-7.8472402				place_of_worship		
38.0113289	-7.8577110	Museu de Arte Sacra	museum				
38.0162823	-7.8601866	Porta de Moura		city_gate			
40.8589621	-8.6246621	Museu de Ovar	museum				
41.0912410	-7.8023362		picnic_site				
41.0912971	-7.8024630		viewpoint				
40.9798108	-7.8866777		artwork				
40.9797412	-7.8870968			monument			
40.9374961	-7.8416495				place_of_worship		
40.9442031	-7.8294478	Senhor da Livração			place_of_worship		
40.9441042	-7.8290525		picnic_site				
41.1630975	-7.8743383	Solar da Rede	hotel				
37.1889663	-8.4388873	Museu Municipal de Arqueologia de Silves	museum				
39.8380705	-8.7153994		picnic_site				
32.8026443	-17.1300978		viewpoint				
32.7921479	-17.1287227	Viewpoint Fanal	viewpoint				
32.7178492	-17.1452678	Mar Turquesa Guesthouse	guest_house				
32.6365576	-16.9348928						water_park
32.6358136	-16.9321649	Complexo Balnear do Lido					water_park
38.0211786	-7.8709878	Casa Funerária de Beja			place_of_worship		
32.6408336	-16.9251062	Pestana Village	hotel				
32.6416817	-16.9248635	Pestana Miramar	hotel				
37.7408741	-25.6648995	Hotel Camões	hotel		restaurant		
32.7483181	-16.7955128		picnic_site				
32.6590421	-16.8263093				place_of_worship		
32.7174341	-16.7660529	White Water	hotel				
32.6845320	-16.8989496	Monumento a Nossa Senhora da Paz	attraction	monument			
32.6401786	-16.9302903	Estrelícia	hotel				
37.0972557	-8.2268109	Vila Petra	hotel				
37.1034697	-8.6732679	Lagosmar	hotel				
37.0992144	-8.6694017	Arco/Porta de São Gonçalo		city_gate			
40.3656775	-7.3523104	Belsol	hotel				
38.8394190	-7.5877361	Porta dos Currais		city_gate			
37.1001197	-8.3868453	Ukino Terrace Algarve Concept	hotel				
37.0975826	-8.3875349	Vila da Rocha	hotel				
32.7243966	-16.7593977	Facho				peak	
37.7410729	-25.6693169	"Residencial ""O Comercial"""	hotel				
39.0395215	-28.0296278	Pico da Caldeirinha	picnic_site				
39.0244710	-27.9724187	Furna do Enxofre	attraction			cave_entrance	
39.0298803	-27.9806987	Furna da Maria Encantada	yes			cave_entrance	
39.0853769	-27.9982671	Graciosa Resort & Business	hotel				
39.0555446	-27.9702982	Moinho de Pedra	hotel				
39.0511779	-27.9786901	Pinheiro	camp_site				
39.8304696	-8.7170954	Igreja do Barracão			place_of_worship		
32.6431386	-16.8518121	Dom Pedro	hotel				
38.7435333	-9.1702851		artwork				
38.7429868	-9.1711078		artwork				
38.7431139	-9.1710556		viewpoint				
38.7431618	-9.1709760		viewpoint				
38.7432354	-9.1707117	Comboio do Zoo	attraction				
38.7452158	-9.1724306		viewpoint				
38.7402938	-9.3996301	Estoril 7	hotel				
38.0167551	-7.8588484	Salão da Bênção			place_of_worship		
38.0177610	-7.8606763				place_of_worship		
41.2753945	-7.4747548	Pousada de Alijó - Barão de Forrester	hotel				
41.3544937	-8.7443577			monument			
41.3509045	-8.7416235	Monumento à Rendilheira de Vila do Conde		monument			
32.6788969	-16.8440988	Largo Conselheiro Aires de Ornelas	viewpoint				
32.7254746	-16.8239853	A Quinta	hotel				
39.2484131	-9.2237580	Igreja Matriz de Moita dos Ferreiros			place_of_worship		
32.6691822	-16.8955230		information				
32.6709809	-16.8953811		information				
32.6754481	-16.8948794		viewpoint				
32.7563240	-17.1087713		attraction				
32.7589304	-17.1212180	Pico do Vento	viewpoint				
40.2295511	-7.8247570	Piódão	attraction				
37.1578424	-8.6649049	Quinta das Barradas	hotel				
41.4423089	-8.4980273				place_of_worship		
32.7557023	-16.7989068		picnic_site				
32.7500598	-16.7896086		picnic_site				
32.7543320	-16.7836035	Pico do Furado	viewpoint				
32.6412664	-16.9177092	Forte São José	viewpoint				
37.4226069	-7.4546385		viewpoint				
37.1192525	-7.6270962	Vila Galé Albacora	hotel				
37.1180502	-8.5204200	Casa Sol	guest_house				
37.1232497	-7.6454436	Vila Galé Tavira	hotel				
37.0933851	-8.4556273	Baía Cristal	hotel				
33.0871027	-16.3551682	Fonte da Areia	viewpoint				
32.6767250	-16.9026722	Fontenario de nossa Senhora do Monte		wayside_shrine	drinking_water		
38.7380693	-9.4042237	Ibn Mucana	attraction	memorial			
38.7302956	-9.4075269	Igreja de Alcabideche			place_of_worship		
32.6417513	-16.9302406	Vila Lusitânia	hotel				
37.1590679	-7.9080063	Miradouro do Alto da Arroteia	viewpoint				
40.8597322	-8.6235581	Aqua Hotel	hotel				
41.8583899	-8.8534120	Aldeamento Turístico do Camarido	hotel				
41.8169259	-8.8542772		viewpoint				
41.8780284	-8.8353285	Peixes	artwork				
41.8556618	-8.8563463		picnic_site				
37.1792493	-7.4422516		picnic_site				
37.1792393	-7.4685262		viewpoint				
37.1056158	-8.9386272	Miradouro de Cordoama	viewpoint				
37.6391288	-7.6655112		viewpoint				
